Household_Size,Seasonal_Index,Garden_Area,Daily_Liters_Used
2,1.1,10,152
3,1.2,15,178
4,1.3,20,225
5,1.5,25,255
6,1.6,30,298
3,1.2,12,172
4,1.3,18,215
5,1.4,22,242
2,1.1,8,138
6,1.7,35,325
3,1.25,14,185
4,1.35,19,230
5,1.45,24,250
2,1.15,9,145
6,1.65,32,310
2,1.1,10,152
3,1.2,15,178
4,1.3,20,225
5,1.5,25,255
6,1.6,30,298
3,1.2,12,172
4,1.3,18,215
5,1.4,22,242
2,1.1,8,138
6,1.7,35,325
3,1.25,14,185
4,1.35,19,230
5,1.45,24,250
2,1.15,9,145
6,1.65,32,310
2,1.1,10,152
3,1.2,15,178
4,1.3,20,225
5,1.5,25,255
6,1.6,30,298
3,1.2,12,172
4,1.3,18,215
5,1.4,22,242
2,1.1,8,138
6,1.7,35,325
3,1.25,14,185
4,1.35,19,230
5,1.45,24,250
2,1.15,9,145
6,1.65,32,310
2,1.1,10,152
3,1.2,15,178
4,1.3,20,225
5,1.5,25,255
6,1.6,30,298
3,1.2,12,172
4,1.3,18,215
5,1.4,22,242
2,1.1,8,138
6,1.7,35,325
3,1.25,14,185
4,1.35,19,230
5,1.45,24,250
2,1.15,9,145
6,1.65,32,310









